base_name,percentage_within_threshold
ground_ground_458_gt.ply,0.0
ground_ground_614_gt.ply,0.0
ground_ground_521_gt.ply,0.0
ground_ground_440_gt.ply,0.0
ground_ground_529_gt.ply,0.0
ground_ground_79_gt.ply,0.0
ground_ground_585_gt.ply,0.0
ground_ground_627_gt.ply,0.0
ground_ground_541_gt.ply,0.0
ground_ground_577_gt.ply,0.0
ground_ground_95_gt.ply,0.0
ground_ground_273_gt.ply,0.0
ground_ground_498_gt.ply,0.0
ground_ground_787_gt.ply,0.0
ground_ground_598_gt.ply,0.0
ground_ground_703_gt.ply,0.0
ground_ground_444_gt.ply,0.0
ground_ground_464_gt.ply,0.0
ground_ground_510_gt.ply,0.0
ground_ground_74_gt.ply,0.0
ground_ground_158_gt.ply,0.0
ground_ground_671_gt.ply,0.0
ground_ground_474_gt.ply,0.0
ground_ground_220_gt.ply,0.0
ground_ground_673_gt.ply,0.0
ground_ground_549_gt.ply,0.0
ground_ground_42_gt.ply,0.0
ground_ground_338_gt.ply,0.0
ground_ground_411_gt.ply,0.0
ground_ground_247_gt.ply,0.0
ground_ground_332_gt.ply,0.0
ground_ground_233_gt.ply,0.0
ground_ground_80_gt.ply,0.0
ground_ground_524_gt.ply,0.0
ground_ground_19_gt.ply,0.0
ground_ground_324_gt.ply,0.0
ground_ground_167_gt.ply,0.0
ground_ground_333_gt.ply,0.0
ground_ground_208_gt.ply,0.0
ground_ground_791_gt.ply,0.0
ground_ground_205_gt.ply,0.0
ground_ground_779_gt.ply,0.0
ground_ground_319_gt.ply,0.0
ground_ground_711_gt.ply,0.0
ground_ground_447_gt.ply,0.0
ground_ground_129_gt.ply,0.0
ground_ground_793_gt.ply,0.0
ground_ground_187_gt.ply,0.0
ground_ground_566_gt.ply,0.0
ground_ground_746_gt.ply,0.0
ground_ground_113_gt.ply,0.0
ground_ground_99_gt.ply,0.0
ground_ground_31_gt.ply,0.0
ground_ground_656_gt.ply,0.0
ground_ground_276_gt.ply,0.0
ground_ground_588_gt.ply,0.0
ground_ground_385_gt.ply,0.0
ground_ground_737_gt.ply,0.0
ground_ground_30_gt.ply,0.0
ground_ground_24_gt.ply,0.0
ground_ground_726_gt.ply,0.0
ground_ground_162_gt.ply,0.0
ground_ground_270_gt.ply,0.0
ground_ground_36_gt.ply,0.0
ground_ground_228_gt.ply,0.0
ground_ground_448_gt.ply,0.0
ground_ground_317_gt.ply,0.0
ground_ground_467_gt.ply,0.0
ground_ground_550_gt.ply,0.0
ground_ground_407_gt.ply,0.0
ground_ground_484_gt.ply,0.0
ground_ground_422_gt.ply,0.0
ground_ground_269_gt.ply,0.0
ground_ground_362_gt.ply,0.0
ground_ground_54_gt.ply,0.0
ground_ground_53_gt.ply,0.0
ground_ground_320_gt.ply,0.0
ground_ground_34_gt.ply,0.0
ground_ground_7_gt.ply,0.0
ground_ground_293_gt.ply,0.0
ground_ground_231_gt.ply,0.0
ground_ground_756_gt.ply,0.0
ground_ground_294_gt.ply,0.0
ground_ground_750_gt.ply,0.0
ground_ground_334_gt.ply,0.0
ground_ground_606_gt.ply,0.0
ground_ground_216_gt.ply,0.0
ground_ground_382_gt.ply,0.0
ground_ground_424_gt.ply,0.0
ground_ground_251_gt.ply,0.0
ground_ground_762_gt.ply,0.0
ground_ground_145_gt.ply,0.0
ground_ground_201_gt.ply,0.0
ground_ground_621_gt.ply,0.0
ground_ground_169_gt.ply,0.0
ground_ground_177_gt.ply,0.0
ground_ground_562_gt.ply,0.0
ground_ground_654_gt.ply,0.0
ground_ground_657_gt.ply,0.0
ground_ground_364_gt.ply,0.0
ground_ground_496_gt.ply,0.0
ground_ground_799_gt.ply,0.0
ground_ground_648_gt.ply,0.0
ground_ground_394_gt.ply,0.0
ground_ground_342_gt.ply,0.0
ground_ground_615_gt.ply,0.0
ground_ground_636_gt.ply,0.0
ground_ground_109_gt.ply,0.0
ground_ground_132_gt.ply,0.0
ground_ground_361_gt.ply,0.0
ground_ground_747_gt.ply,0.0
ground_ground_308_gt.ply,0.0
ground_ground_688_gt.ply,0.0
ground_ground_368_gt.ply,0.0
ground_ground_223_gt.ply,0.0
ground_ground_50_gt.ply,0.0
ground_ground_370_gt.ply,0.0
ground_ground_28_gt.ply,0.0
ground_ground_649_gt.ply,0.0
ground_ground_418_gt.ply,0.0
ground_ground_141_gt.ply,0.0
ground_ground_4_gt.ply,0.0
ground_ground_789_gt.ply,0.0
ground_ground_605_gt.ply,0.0
ground_ground_730_gt.ply,0.0
ground_ground_720_gt.ply,0.0
ground_ground_170_gt.ply,0.0
ground_ground_372_gt.ply,0.0
ground_ground_146_gt.ply,0.0
ground_ground_211_gt.ply,0.0
ground_ground_83_gt.ply,0.0
ground_ground_45_gt.ply,0.0
ground_ground_516_gt.ply,0.0
ground_ground_310_gt.ply,0.0
ground_ground_699_gt.ply,0.0
ground_ground_491_gt.ply,0.0
ground_ground_748_gt.ply,0.0
ground_ground_672_gt.ply,0.0
ground_ground_759_gt.ply,0.0
ground_ground_72_gt.ply,0.0
ground_ground_507_gt.ply,0.0
ground_ground_692_gt.ply,0.0
ground_ground_358_gt.ply,0.0
ground_ground_14_gt.ply,0.0
ground_ground_70_gt.ply,0.0
ground_ground_736_gt.ply,0.0
ground_ground_174_gt.ply,0.0
ground_ground_760_gt.ply,0.0
ground_ground_85_gt.ply,0.0
ground_ground_626_gt.ply,0.0
ground_ground_717_gt.ply,0.0
ground_ground_488_gt.ply,0.0
ground_ground_645_gt.ply,0.0
ground_ground_589_gt.ply,0.0
ground_ground_540_gt.ply,0.0
ground_ground_777_gt.ply,0.0
ground_ground_3_gt.ply,0.0
ground_ground_640_gt.ply,0.0
ground_ground_732_gt.ply,0.0
ground_ground_432_gt.ply,0.0
ground_ground_575_gt.ply,0.0
ground_ground_18_gt.ply,0.0
ground_ground_185_gt.ply,0.0
ground_ground_532_gt.ply,0.0
ground_ground_795_gt.ply,0.0
ground_ground_456_gt.ply,0.0
ground_ground_698_gt.ply,0.0
ground_ground_374_gt.ply,0.0
ground_ground_346_gt.ply,0.0
ground_ground_644_gt.ply,0.0
ground_ground_511_gt.ply,0.0
ground_ground_81_gt.ply,0.0
ground_ground_161_gt.ply,0.0
ground_ground_446_gt.ply,0.0
ground_ground_808_gt.ply,0.0
ground_ground_227_gt.ply,0.0
ground_ground_693_gt.ply,0.0
ground_ground_643_gt.ply,0.0
ground_ground_580_gt.ply,0.0
ground_ground_213_gt.ply,0.0
